name,birthyear,
Adam Whitney Savage,1967
Adam Paul Scott,1973
Alessandro Liborio Madrigal,1971
Louis Alan Schechter,1965
Barry Louis Levy,1972
Barton Robert Johnson,1970
Joseph Robinette Biden III,1969
Benjamin Langer Bass,1968
Benjamin Saul Byer,1971
Benjamin Fredrick Mankiewicz,1967
Benjamin Shenkman,1968
Beth Ann Gylys,1964
Elizabeth Anna Halcyon Littleford,1968
William Felix Browder,1964
William Van Duzer Lawrence IV,1968
William M. Stanley Jr.,1967
Tad Nolen,1970
William George Zane Jr.,1966
Norma Blake Lindsley Schlei,1973
Robert Bergen,1964
Robert Guiney,1971
Robert Lee Murawski,1964
Robert Wiltfong,1969
Bobbie Jean Brown,1969
Robert Brown,1969
Robert Nelson Fite,1968
Bodhi Pine Saboff,1969
Bradley Roland Will,1970
Bradley Phillip Bell,1964
Patrick Brady Smith,1971
Bram N. Weinstein,1973
Brandy Lee Ledford,1969
Brenda Leithleiter,1968
Steven Brett Guthrie,1964
Brian Adam Douglas,1972
Brian William Koppelman,1966
Bryan Neese,1964
Brian Palmer,1964
Brian David Whitman,1972
Bridget Anne Daul,1972
Brigid Callahan,1965
Bridget Louise Secard,1972
Ian Brody Hutzler,1971
Steven James Brody,1970
Brook Warren Berringer,1973
Brook Antoinette Mahealani Lee,1971
Bruce Eugene Westerman,1967
Bryan Ronald Dattilo,1971
Bryan Kest,1964
Bryan Lewis Saunders,1969
Bryant Harrison McGill,1969
Alphonse Fletcher Jr.,1965
Burr Gore Steers,1965
Jay Jones,1972
Charles McRay Blow,1970
Charles Patrick White,1969
Frederick Charles Peters,1971
Charles Thomas Schlatter,1966
Cheryl Nyland,1968
Chet Zar,1967
Willis Chapman Arndt Jr.,1966
John Bruce Saltsman Jr.,1968
Mark Christopher Bauer,1966
Christopher Lapinski,1970
Christopher Michael Benoit,1967
Christopher Edgerly,1969
Christopher Stephen Lehane,1967
Christopher Brian McDaniel,1972
Christopher Robert Hansen,1968
Christopher M. Savino,1971
Christopher James Williams,1967
Christian P. Wragge,1970
Christi Paul,1969
Christian D. Borle,1973
Christie Mary Clark,1973
Christine Fernandes Alves,1968
Christine Paule Pelosi,1966
Christopher Matthew Bentivegna,1972
Christopher Boykin,1972
Christopher W. Douglas,1969
Christopher Frederick Showerman,1971
Christopher Richard Wiehl,1970
