name,birthyear,
Alexander Johan Hjalmar Skarsgård,1976
Alexandra Barreto,1975
Alexandra Marguerite Clémentine Cousteau,1976
Alexis Skye,1974
Ali Hasan Abunimah,1971
Jessie Alice Celones Dixson,1969
Aliki Theofilopoulos,1972
Charles Allen Huff II,1969
Allison Leigh Alderson,1977
Amanda Lee Mitteer,1978
Amanda Andrea Renteria,1974
Mary Bradley,1978
Amaury Nolasco Garrido,1970
Amber Marchese,1977
Amelia March Heinle,1973
America Athene Olivo,1978
Araceli Valdez,1974
Aracely Arámbula Jacques,1975
Ari Zoldan III,1976
Aries Spears,1975
Arkady Lvovich Bukh,1972
Arlo Hanlin Hemphill,1971
Aron Lee Ralston,1975
Arthur Agee Jr.,1972
Artur Balder,1974
Christopher Ashton Kutcher,1978
Audra Levi,1974
Audrey Marie Marrs,1970
Auren Raphael Hoffman,1974
John P. Miller,1976
Azhar Muhammad Usman,1975
Aaron Grant Buerge,1974
Aaron Darnell Spears,1971
Derek Aaron Ruell,1976
Arti Majumdar,1978
Abigail Evelyn Titmuss,1976
Adam C. Siepel,1972
Arthur Adam Housley,1971
Adam Brooks Reed,1970
Adam Paul Scott,1973
Adam Stevens,1978
Adrian Armin Cruz,1978
Aida Margarita Parada Rodriguez,1977
Alessandro Liborio Madrigal,1971
Alanis Nadine Morissette,1974
Baratunde Rafiq Thurston,1977
Barry Louis Levy,1972
Michael Barrett Watson,1974
Barton Robert Johnson,1970
Bashar Mounzer Rahal,1974
Joseph Robinette Biden III,1969
Benjamin Saul Byer,1971
Benjamin Quincy Jones,1977
Benjamin Swann,1978
Benjamin Thall,1978
Benjamin Bradley Bolger,1975
Benjamin James Perez Ablao Jr.,1974
Billy J. Beckwith,1975
Tad Nolen,1970
Christopher Isaac Stone,1974
Norma Blake Lindsley Schlei,1973
Robert V. Abrahamian,1978
Robert Dean Silva Burnquist,1976
Robert Guiney,1971
Robert Wiltfong,1969
Bobbie Jean Brown,1969
Robert Brown,1969
Robert Tonelli Jr.,1975
Bodhi Pine Saboff,1969
Bradley Roland Will,1970
Patrick Brady Smith,1971
Bram N. Weinstein,1973
Brandon Spencer Call,1976
Brandon James Keener,1974
Brandy Lee Ledford,1969
Bree Nicole Turner,1977
Brett Charles Sheridan,1974
Brian Adam Douglas,1972
Brian Alexander Ferrara,1978
Brian Joseph White,1975
Brian Joshua Presley,1977
Brian R. James,1974
Brian David Whitman,1972
James Brice Beckham,1976
Bridget Anne Daul,1972
Bridget Louise Secard,1972
Brock Edward Lesnar,1977
Ian Brody Hutzler,1971
Steven James Brody,1970
Brook Warren Berringer,1973
Brook Antoinette Mahealani Lee,1971
Bryan Ronald Dattilo,1971
Bryan Lewis Saunders,1969
Bryant Harrison McGill,1969
Buffie Carruth,1977
William T. Lawson Jr.,1974
Ali Ardekani,1975
Jay Jones,1972
Charles McRay Blow,1970
Charles Patrick White,1969
Charles Robert Winters,1977
Frederick Charles Peters,1971
Charles Peckham Day,1976
Charlie Moreno,1978
Charles O'Connell,1975
Charles Alan Weber Jr.,1978
Chaske Spencer,1975
Loveta Cheralyn Cook,1976
Christopher Lapinski,1970
Christopher Edgerly,1969
Chris McCaleb,1978
Christopher Brian McDaniel,1972
Christopher M. Savino,1971
Christian P. Wragge,1970
Christi Paul,1969
Christian D. Borle,1973
Christie Mary Clark,1973
Christina Rene Hendricks,1975
Christopher Beau Landon,1975
Christopher Matthew Bentivegna,1972
Christopher Boykin,1972
Christopher W. Douglas,1969
Christopher Frederick Showerman,1971
Christopher Tsai,1974
Christopher Richard Wiehl,1970
Clayton James Cubitt,1972
Clayton McKenzie Morrow,1974
Cole Kenneth Hauser,1975
Colleen Ann O'Shaughnessey,1971
Corey Olsen,1974
Corey Daniel Stoll,1976
Countess Danielle Vaughn,1978
Courtney Braden Ford,1978
Craig Harris Carton,1969
Craig Ellis Tanner,1974
Craig Mikel Wayans,1976
Cynthia Lynn Daniel,1976
Cynthia Ona Innis,1969
Cynthia Pinot Gonzalez,1974
Cindy Hwang,1974
Caleb Paul Chapman,1973
Caleb Schaber,1973
Candice Marie Sanders,1977
Carl Anthony Payne II,1969
Carlo P. Basile,1971
Carmen Maria Robles,1973
Carol Ann Hovenkamp,1971
Carrie Ann Jones,1974
Carrie Kei Heim,1973
Carson Lee Kressley,1969
Carter Nicholas Oosterhouse,1976
Caleb Casey McGuire Affleck-Boldt,1975
Catherine Zeta Jones,1969
Lee Hae-Jin,1970
Cecilia Lueza,1971
Thomas DeCarlo Callaway,1974
Cenk Kadir Uygur,1970
Chad Allen Lazzari,1974
Chad Bannon,1970
Chad Hunter Griffin,1973
Chad Jeremy Johnson,1978
Chad Anthony Zumock,1976
Chadwick Aaron Boseman,1976
Chaney Kley Minnis,1972
Charis Elisa Michelsen,1974
Charles Bach,1970
Charles Joseph Orlando,1970
Charles Roper Jeter Jr.,1973
Charles Leonard Fletcher,1971
Charles Joseph Lollar,1971
Daniel Bryon Corkill,1974
Daniel Peter Masterson,1976
Daniel Richard McBride,1976
Danuel Pipoly,1978
Daphne Sharmaine Denise Polk,1971
Darin Richard Pastor,1971
Darlene Magnolia R. Antonino-Custodio,1973
Darrell M. Smith,1973
Darren Collarado Brass,1972
Darrin Dewitt Henson,1972
David Gilbert,1976
David Robert Holmes,1971
David Christopher Sheridan,1969
David Willis,1970
David Reed Bromstad,1973
David Elias Callaham,1977
David Bryan Hayter,1969
William David Hitt,1975
David Scott Lascher,1972
David Lee McInnis,1973
David Mendenhall,1971
David Jason Muir,1973
David Nelson Donihue,1974
David Vincent Taylor,1972
Daymond Garfield John,1969
Brian Theodore Deneke,1978
Deming Chen,1970
Denis Donohue,1976
Derek Blanks,1977
Derek Edwin Brown,1971
Derek M. Cianfrance,1974
Derek Michael Warburton,1974
Desmond Miller,1969
Devi Elizabeth Nampiaparampil,1977
Dewey Dewayne Smith,1972
Etan Kalil Patz,1972
Kristin Denise Smart,1977
Domenico Lombardozzi,1976
Dominic Antonucci,1974
Donald Wayne Henrie,1975
Donnie Lee Jeffcoat Jr.,1975
Donita Rose Ramos Cavett-Villarama,1974
Donna Faye Hogan,1971
Douglas Langdale,1969
Douglas Edward Rowell,1974
Douglas Trevor,1969
Andrea Donna de Matteo,1972
Dwayne Douglas Johnson,1972
Michael Eugene Archer,1974
Daniel Brett Weiss,1971
Douglas James Grothe,1973
Richard Jeffrey Perry,1970
Eric Aguirre,1978
Mary Dagen McDowell,1969
Dallas Mark Roberts,1970
Damian Paul Maffei,1977
Daniel Edward Amrich,1971
Daniel John Bongino,1974
Daniel Joseph Seals,1971
Dana Eaton,1978
Daniel Luke Bess,1977
Daniel Barton Oerther,1972
Danielle Nicole Bisutti,1976
Danielle Louise Coney,1977
Danielle Diggs,1973
Edward Perry Healy,1973
Mohamed Mahbub Husain,1974
Eduardo Jesus Lopez-Reyes,1974
Edward Charles Ifft III,1974
Edwin Pence,1974
Adam Joseph Copeland,1973
Edward Paul Quist,1976
Efrain Antonio Ramirez,1973
Katherine Elaine Hendrix,1970
Eli Verschleiser,1974
Elida Reyna,1972
Elisabeth DelPadre Filarski,1977
Ellen Stagg,1978
Ellen Urbani,1969
Emek Golan,1970
Emily Erin Deschanel,1976
Emily Susan Rapp,1974
Enrique Miguel Iglesias Preysler,1975
Enrique Ricardo Murciano,1973
Edwin Martin Barry II,1973
Patrick John Coleman,1972
Eric Grissom,1974
Eric Olaf Lodal,1976
Eric Michael Cole,1976
Eric John Nenninger,1978
Eric Spoto,1976
Eric Kyle Szmanda,1975
Eric Alexander Wareheim,1976
Erik Dean Prince,1969
Erik Rauch,1974
Erika Rose Alexander,1969
Erin Isabelle Burnett,1976
Erin Cardillo,1977
Erin Cohen,1973
이승은 (Lee Seung-un),1972
Evan Andrew Roth,1978
Evan Clark Williams,1972
Ever Dawn Carradine,1974
Frank Caeti,1973
Frank Maharajh,1977
Frederick Combs,1971
Felix Gary Gray,1969
Faune Alecia Chambers,1976
Alfred Langston Mitchell,1972
Inga DeCarlo Fung Marchand,1978
Eugene Earl Hoffman Jr.,1975
Geoffrey Mark Trachtenberg,1971
Gerard Arthur Way,1977
Gillian Schieber Flynn,1971
G. Craige Lewis,1969
Giselle Anne Töngi,1978
Gregory James Qaiyum,1976
Gabriel Sapolsky,1972
Gabriel Emerson Olds,1972
Gale Morgan Harold III,1969
Garrett M. Camp,1978
Antonino Giovanni Ribisi,1974
Glenn R. Davis Jr.,1973
Glenn Carlyle Nye III,1974
Glenn Martin Christopher Francis Quinn,1970
Grant Masaru Imahara,1970
